,Tweet
210,RT SenMikeLee Bad news The RFMA sufficient protections religious liberty progressed Senate Good news
211,News flash stump limitless killing unborn seek legalized gender mutilation minors advocate indoctrination children state employees values parents party protecting children
212,RT davereaboi Props Timcast hosting I watch conclude Kanye deeply unwell
213,RT DKThomp There 100 chance graph core reason America surge anxiety depression Time spent
214,RT Timcast
215,RT greg_price11 Timcast co host Lukewearechange Ye told leaving studio believe truths htt
216,RT MattsIdeaShop elonmusk
217,RT MarinaMedvin What headline
218,RT RubinReport I Timcast Fuentes racist troll rat Kanye lost
219,RT JeffOnTheRight I chick Ye Fuentes Yiannapoulos car left I
220,RT SwipeWright Kanye West stormed livestream Timcast Pool refused West antisemitic consp
221,RT NoahPollak Gotta admire Politico devotion narrative matter ludicrous Real gender dysphoria incredibly rare
222,RT MrAndyNgo Sam Brinton deputy assistant secretary Department Energy praised nonbinary identifying trans
223,RT realDailyWire Trans person Natalie Bingham CNN Colorado shooter binary obvious mugshot
224,RT realDailyWire benshapiro reacts Justin Trudeau appearing Canada Drag Race The values West completely
225,RT elonmusk The Twitter Files free speech suppression published Twitter The public deserves
226,RT yaf Privilege perspective turned generation soft benshapiro
227,RT CultureCrave Disney StrangeWorld bombs box office 18 6M domestically 5 days The film projected
228,RT BasedMikeLee My amendment RFMA bill protect religious freedom sex marriage ado
229,RT BjornLomborg All grey Paris Agreement cut reach 1 5 C targetBlack promisesRead peer
230,RT realDailyWire Watch making Truth Bomb Made 6061 aircraft grade aluminum beautifully crafted collectible
231,RT wesyang They telling
232,RT poepilled Ye deleted post videos nick milo
233,jordanbpeterson megynkelly Ravarora1 Happy birthday megynkelly
234,RT baseballcrank My time favorite NFL player Astounding played game flair amp pizzazz remained humbl
235,RT mgurri The crave authenticity lost herd
236,RT elonmusk
237,RT lnmackenzie1 One UK leading campaigners violence women girls barred joining Labour party Yes
238,RT neontaster wtf wording
239,RT ianbremmer china censoring world cup crowds state tv population maskless faces
240,RT RyanGirdusky To numbers Republicans wild understatement
241,RT MattsIdeaShop benshapiro Kanye politics shocked discover mail rentals exist
242,Unbelievably weak statement
243,RT onlyyoontv Beijing recovering weekend lockdowns stockpiling arguably open show resistance Communist P
244,RT AGHamilton29 Reminder If Aaron Rupar Rex Chapman Ron Filipkowski start assumption
245,RT MrAndyNgo Wow Shopify CEO issued response refusing cave intimidation campaign led leftist cancel activist nando
246,Oh FYI
247,Sadly trashed You It It Jews It
248,RT axios Public outrage COVID lockdown restrictions fueled rare protests China residents demanding governme
249,Oh
250,RT ianbremmer protests xi zero covid policies continuing today wuhan limited state response ht whyy
251,RT JackPosobiec The protests Shanghai taking place street US Consulate Not single official member
252,A accidentally dine vile racist anti Semite dine vile racist anti Semite
253,RT breeadail BREAKING Vatican condemns CCP ordination bishop Does Sino Vatican deal News day Chinese
254,RT realDailyWire Black Friday Deals Matter Tired brands selling woke Left SkipCyberWoke Black Friday save 40
255,RT dailywireplus God word impacts society ways fully comprehend In feature length documenta
256,RT WeeWillyWinker Sharing LeftistTears grateful foul brethren Happy Thanksgiving benshapiro realDailyWire gang
257,RT JeremyDBoreing Perhaps greatest content realDailyWire released
258,RT wesyang Yes intuitions stopping cognitive physical development children chemical castration drugs
259,RT yashar 1 It birthday today I I women Niloofar Hamedi Elahe Mohammadi famou
260,RT BasedMikeLee Some 12 Republicans voted bill week responding inquiries concerns bill
261,RT BasedMikeLee Their statement support Lee Amendment willingness demand roll call vote vote
